match_id,GoalScorer,OG,Team,Assist,AssistType,Penalty
2018083,Moussa Diawara,,Home,Mahmoud Hamada,Pass,
2018083,Mahmoud Kaoud,,Away,Ibrahim Yehia,Header,
2018085,Khaled Sotohi,,Away,Ahmed Samir,Corner,
2018085,Talla Ndiaye,,Away,,Unknown,
2018085,Ahmed Samir,,Away,Hassan Magdy,Handball ,1.0
2018085,Mostafa Gamal,,Home,Khaled Sotohi,Handball ,1.0
2018086,Hossam Hassan,,Away,Benson Shilongo,Pass,
2018087,Ayman Ashraf,1.0,Away,Razack Cissé,Unknown,
2018087,Marwan Mohsen,,Home,Salif Coulibaly,Pass,
2018087,Khaled Kamar,,Away,Razack Cissé,Pass,
2018087,Didier Koré,,Away,Mohamed Nasef,Penalty,1.0
2018087,Walid Soliman,,Home,Islam Mohareb,Cross,
2018087,Ahmed Elalfi,,Away,Razack Cissé,Cross,
2018087,Mohamed Sherif,,Home,Salif Coulibaly,Header,
2018088,Saïdou Simporé,,Home,Omar Kamal,Penalty,1.0
2018089,Omar El Said,,Away,,Unknown,
2018089,Youssef Obama,,Away,Omar El Said,Pass,
2018092,Ibrahima Ndiaye,,Away,,Unknown,
2018093,Hossam Hassan,,Home,Hossam Hassan,Penalty,1.0
2018093,Emam Ashour,,Away,,Unknown,
2018094,Mahmoud Metwaly,,Home,Tarek Taha,Corner,
2018094,Lassad Jaziri,,Home,Lassad Jaziri,Penalty,1.0
2018095,Hussein Ragab,,Away,Mostafa Kalosha,Cross,
2018095,Hamdy Fathy,,Home,Amr El Halwani,Corner,
2018096,Razack Cissé,,Home,Khaled Kamar,Pass,
2018096,Shemeles Bekele,,Away,Mohamed Salem,Pass,
2018097,Kahraba,,Home,Kabongo Kasongo,Unknown,
2018097,Youssef Obama,,Home,Hamdi Nagguez,Pass,
2018098,Hussein El Shahat,,Away,Ramadan Sobhi,Pass,
2018098,Junior Ajayi,,Away,Amr El Solia,Pass,
2018098,Ramadan Sobhi,,Away,Yasser Ibrahim,Header,
2018100,Eric Traoré,,Away,Mahmoud Wahid,Free kick,
2018101,Ibrahima Ndiaye,,Home,Vasilios Bouzas,Pass,
2018101,Kahraba,,Away,Ferjani Sassi,Pass,
2018101,Ibrahim Hassan,,Away,Kahraba,Cross,
2018101,Mahmoud Alaa,,Away,Osama Azab,Handball ,1.0
2018101,Youssef Obama,,Away,Kabongo Kasongo,Pass,
2018101,Ibrahima Ndiaye,,Home,Bebo,Penalty,1.0
2018102,Hossam Paulo,,Home,Mostafa Kalosha,Pass,
2018102,Mohamed Makhlouf,,Home,Ahmed Ouka,Pass,
2018102,Mostafa Mohamed,,Away,Talla Ndiaye,Unknown,
2018103,Ouka,,Home,,Unknown,1.0
2018103,Emad Fathi,,Away,Noah Sadaoui,Pass,
2018104,Hossam Hassan,,Away,Ahmed Homos,Unknown,
2018104,Mohamed Hamdi,,Away,Canaria,Cross,
2018104,Ahmed Shedid Kenawi,,Home,Mohamed Mosaad,Penalty,1.0
2018104,James Owoboskini,,Home,Ahmed Shedid Kenawi,Cross,
2018105,Ahmed Ayman Mansour,,Home,Afsha,Free kick,
2018105,Ragab Bakar,,Home,Keno,Pass,
2018105,Keno,,Home,Nasser Mansy,Pass,
2018107,Marwan Mohsen,,Home,Ahmed El Sheikh,Pass,
2018107,Momen Zakaria,,Home,Amr El Solia,Unknown,
2018108,Moses Odo,,Away,Hamada Nasr,Pass,
2018108,Mahmoud Alaa,,Home,Mohamed El Shebini,Handball ,1.0
2018108,Kahraba,,Home,Omar El Said,Pass,
2018109,Ahmed Raouf,,Away,Mahmoud Salah,Cross,
2018109,Mahmoud Salah,,Away,Mohamed Vieira Sanogo,Cross,
2018109,Ahmed Rabie,,Home,Islam El Far,Corner,
2018109,Salah Amin,,Home,Ahmed Ayman,Cross,
2018109,Islam El Far,,Home,,Unknown,
2018110,Mostafa Mohamed,,Home,Ahmed Kaboria,Unknown,
2018110,Ahmed Kaboria,,Home,Kareem Tarek,Pass,
2018110,Mostafa Mohamed,,Home,Talla Ndiaye,Cross,
2018110,Ahmed Kaboria,,Home,Asem Salah,Cross,
2018110,Ahmed Kaboria,,Home,Mohamed Bassam,Unknown,
2018111,Benson Shilongo,,Home,Mohamed Hamdi,Cross,
2018111,Ahmed Ouka,,Away,,Unknown,
2018112,Mohamed Talaat,,Home,,Unknown,
2018112,Luis Hinestroza,,Home,Taher Mohamed,Pass,
2018113,Mohamed Reda,,Away,Ibrahima Ndiaye,Unknown,
2018113,Christopher Mendouga,,Home,Okiki Afolabi,Unknown,
2018113,Dodo Elgabas,,Away,,Unknown,1.0
2018113,Karim Mamdouh,,Away,Ibrahima Ndiaye,Pass,
2018114,Paulin Voavy,,Home,Eric Traoré,Pass,
2018115,Jhon Cifuente,,Away,Abdallah El Said,Corner,
2018115,Hussein Ragab,,Home,Saïdou Simporé,Cross,
2018115,Karim El Eraki,1.0,Away,,Unknown,
2018115,Nasser Mansy,,Away,Abdallah El Said,Pass,
2018115,Ahmed Gomaa,,Home,Mohamed Grendo,Penalty,1.0
2018115,Saïdou Simporé,,Home,Islam Abou-Salima,Cross,
2018116,Ayman Ashraf,,Away,Geraldo,Unknown,
2018116,Junior Ajayi,,Away,Geraldo,Pass,
2018116,Mahmoud Kaoud,,Home,Ahmed Refaat,Free kick,
2018117,Youssef Obama,,Away,Ibrahim Hassan,Pass,
2018117,Youssef Obama,,Away,Mohamed Ibrahim,Pass,
2018117,Mohamed Ragab,,Home,Omar El Said,Handball ,1.0
2018118,Ahmed Magdy,,Home,Chisom Elvis Chikatara,Unknown,
2018118,Mahmoud Moaaz,,Away,,Unknown,
2018119,Moses Odo,,Home,Mohamed El Shebini,Unknown,
2018121,Mohamed Koffi,,Away,Ahmed Shokry,Unknown,
2018121,Vasilios Bouzas,,Home,Ibrahima Ndiaye,Pass,
2018122,Taher Mohamed,,Away,Mohamed Talaat,Pass,
2018122,Luis Hinestroza,,Away,Mohamed Magli,Cross,
2018123,Salah Amin,,Away,Amr El Sisi,Pass,
2018123,Halimo,,Away,Ahmed Ayman,Cross,
2018124,Ali Gabr,,Home,Afsha,Corner,
2018124,Ahmed Afifi,,Home,Keno,Pass,
2018125,Marwan Mohsen,,Home,Mohamed Sherif,Pass,
2018125,Marwan Mohsen,,Home,Mohamed Sherif,Unknown,
2018126,Ahmed El Shimi,,Home,Luis Hinestroza,Cross,
2018126,Islam Roshdi,,Away,Mohamed Abdelgawad,Cross,
2018126,Ahmed Ali,,Home,Hassan El Shami,Free kick,
2018126,Chisom Elvis Chikatara,,Away,Gedo,Header,
2018126,Ibrahim Adel,,Home,Mohamed Talaat,Header,
2018126,Mohamed Samir,,Home,Mohamed Talaat,Penalty,1.0
2018127,Razack Cissé,,Away,Karim El Deeb,Corner,
2018128,Eric Traoré,,Away,Salah Rico,Cross,
2018128,Salah Ashour,,Away,Asem Said,Pass,
2018129,Mohamed Vieira Sanogo,,Away,Ahmed Lala,Cross,
2018129,Talla Ndiaye,,Home,Mohamed Rizk,Corner,
2018129,Mahmoud Salah,,Away,Ahmed Lala,Cross,
2018129,Mohamed Salem,,Away,Mohamed Vieira Sanogo,Pass,
2018129,Ahmed Gaafar,,Home,Mohamed Rizk,Pass,
2018129,Mostafa Mohamed,,Home,Mohamed Rizk,Cross,
2018130,Ibrahim Abdel-Khalik,,Home,Abdallah Gomaa Awad,Unknown,
2018130,Walid Ateya,,Home,Ahmed El Sheikh,Unknown,
2018130,Ibrahim Abdel-Khalik,,Home,Emam Ashour,Unknown,
