match_id,Gameweek,Date,Time,Result,Home team,Away team,Day,HomeGoals,AwayGoals,Status,Season
2019082,10,2019-12-23,6:30 PM,4:0,Ahly SC,Ittihad Alex,Mon,4,0,HomeWin,2019-2020
2019083,10,2019-12-24,1:30 PM,2:2,Tanta SC,Aswan SC,Tue,2,2,Tie,2019-2020
2019084,10,2019-12-24,4:00 PM,2:2,FC Masr,El Makasa,Tue,2,2,Tie,2019-2020
2019085,10,2019-12-24,6:30 PM,0:0,Entag El Harby,Zamalek,Tue,0,0,Tie,2019-2020
2019086,10,2019-12-25,1:30 PM,0:0,Enppi SC,Harras Hodoud,Wed,0,0,Tie,2019-2020
2019087,10,2019-12-25,4:00 PM,0:1,Talaea El Gaish,El Masry,Wed,0,1,AwayWin,2019-2020
2019088,10,2019-12-25,,2:1,Smouha,El Gouna,Wed,2,1,HomeWin,2019-2020
2019089,10,2019-12-25,6:30 PM,1:0,Pyramids FC,Wadi Degla,Wed,1,0,HomeWin,2019-2020
2019090,11,2019-12-30,1:30 PM,2:1,FC Masr,Tanta SC,Mon,2,1,HomeWin,2019-2020
2019091,11,2019-12-30,4:00 PM,0:0,El Gouna,Entag El Harby,Mon,0,0,Tie,2019-2020
2019092,11,2020-01-01,1:30 PM,0:1,Ittihad Alex,El Mokawloon,Wed,0,1,AwayWin,2019-2020
2019093,11,2020-01-01,4:00 PM,1:1,Ismaily,Enppi SC,Wed,1,1,Tie,2019-2020
2019094,11,2020-01-01,6:30 PM,0:2,El Makasa,Ahly SC,Wed,0,2,AwayWin,2019-2020
2019095,11,2020-01-02,1:30 PM,1:0,Harras Hodoud,Pyramids FC,Thu,1,0,HomeWin,2019-2020
2019096,11,2020-01-02,4:00 PM,2:1,El Masry,Smouha,Thu,2,1,HomeWin,2019-2020
2019097,11,2020-01-02,6:30 PM,2:0,Zamalek,Aswan SC,Thu,2,0,HomeWin,2019-2020
2019098,11,2020-01-03,6:30 PM,1:3,Wadi Degla,Talaea El Gaish,Fri,1,3,AwayWin,2019-2020
2019099,12,2020-01-05,1:30 PM,1:1,El Mokawloon,El Makasa,Sun,1,1,Tie,2019-2020
2019100,12,2020-01-05,4:00 PM,2:3,Tanta SC,Zamalek,Sun,2,3,AwayWin,2019-2020
2019101,12,2020-01-05,6:30 PM,3:1,Ahly SC,FC Masr,Sun,3,1,HomeWin,2019-2020
2019102,12,2020-01-07,1:30 PM,1:1,Aswan SC,El Gouna,Tue,1,1,Tie,2019-2020
2019103,12,2020-01-07,4:00 PM,1:1,Entag El Harby,El Masry,Tue,1,1,Tie,2019-2020
2019104,12,2020-01-07,6:30 PM,1:0,Pyramids FC,Ismaily,Tue,1,0,HomeWin,2019-2020
2019105,12,2020-01-08,1:30 PM,0:3,Talaea El Gaish,Harras Hodoud,Wed,0,3,AwayWin,2019-2020
2019106,12,2020-01-08,4:00 PM,2:3,Smouha,Wadi Degla,Wed,2,3,AwayWin,2019-2020
2019107,12,2020-01-08,6:30 PM,0:0,Enppi SC,Ittihad Alex,Wed,0,0,Tie,2019-2020
2019108,13,2020-01-11,4:00 PM,1:3,FC Masr,El Mokawloon,Sat,1,3,AwayWin,2019-2020
2019109,13,2020-01-12,1:30 PM,0:0,Harras Hodoud,Smouha,Sun,0,0,Tie,2019-2020
2019110,13,2020-01-12,4:00 PM,1:1,El Makasa,Enppi SC,Sun,1,1,Tie,2019-2020
2019111,13,2020-01-12,6:30 PM,2:1,Ismaily,Talaea El Gaish,Sun,2,1,HomeWin,2019-2020
2019112,13,2020-01-13,4:00 PM,1:1,Wadi Degla,Entag El Harby,Mon,1,1,Tie,2019-2020
2019113,13,2020-01-15,4:00 PM,0:2,El Gouna,Zamalek,Wed,0,2,AwayWin,2019-2020
2019114,13,2020-01-15,6:30 PM,5:0,Ahly SC,Tanta SC,Wed,5,0,HomeWin,2019-2020
2019115,13,2020-01-16,4:00 PM,2:2,El Masry,Aswan SC,Thu,2,2,Tie,2019-2020
2019116,13,2020-01-16,6:30 PM,1:1,Ittihad Alex,Pyramids FC,Thu,1,1,Tie,2019-2020
2019117,14,2020-01-18,1:30 PM,2:1,Enppi SC,FC Masr,Sat,2,1,HomeWin,2019-2020
2019118,14,2020-01-18,4:00 PM,1:0,Entag El Harby,Harras Hodoud,Sat,1,0,HomeWin,2019-2020
2019119,14,2020-01-18,6:30 PM,1:1,Smouha,Ismaily,Sat,1,1,Tie,2019-2020
2019120,14,2020-01-19,6:30 PM,0:2,El Mokawloon,Ahly SC,Sun,0,2,AwayWin,2019-2020
2019121,14,2020-01-20,1:30 PM,1:3,Aswan SC,Wadi Degla,Mon,1,3,AwayWin,2019-2020
2019122,14,2020-01-20,4:00 PM,0:3,Talaea El Gaish,Ittihad Alex,Mon,0,3,AwayWin,2019-2020
2019123,14,2020-01-21,1:30 PM,1:0,Tanta SC,El Gouna,Tue,1,0,HomeWin,2019-2020
2019124,14,2020-01-21,6:30 PM,3:1,Pyramids FC,El Makasa,Tue,3,1,HomeWin,2019-2020
2019125,14,2020-08-06,8:00 PM,1:0,Zamalek,El Masry,Thu,1,0,HomeWin,2019-2020
2019126,15,2020-01-26,4:00 PM,2:0,El Mokawloon,Tanta SC,Sun,2,0,HomeWin,2019-2020
2019127,15,2020-01-27,1:30 PM,1:2,Harras Hodoud,Aswan SC,Mon,1,2,AwayWin,2019-2020
2019128,15,2020-01-27,4:00 PM,1:1,El Makasa,Talaea El Gaish,Mon,1,1,Tie,2019-2020
2019129,15,2020-01-28,6:30 PM,1:1,Wadi Degla,Zamalek,Tue,1,1,Tie,2019-2020
2019130,15,2020-01-29,4:00 PM,1:2,El Masry,El Gouna,Wed,1,2,AwayWin,2019-2020
2019131,15,2020-01-29,6:30 PM,1:2,FC Masr,Pyramids FC,Wed,1,2,AwayWin,2019-2020
2019132,15,2020-01-30,4:00 PM,3:2,Ismaily,Entag El Harby,Thu,3,2,HomeWin,2019-2020
2019133,15,2020-01-30,6:30 PM,1:1,Ittihad Alex,Smouha,Thu,1,1,Tie,2019-2020
2019134,15,2020-08-09,8:00 PM,2:0,Ahly SC,Enppi SC,Sun,2,0,HomeWin,2019-2020
2019135,16,2020-02-03,1:30 PM,2:1,Aswan SC,Ismaily,Mon,2,1,HomeWin,2019-2020
2019136,16,2020-02-03,4:00 PM,0:0,Entag El Harby,Ittihad Alex,Mon,0,0,Tie,2019-2020
2019137,16,2020-02-03,,2:1,Enppi SC,El Mokawloon,Mon,2,1,HomeWin,2019-2020
2019138,16,2020-02-03,6:30 PM,1:1,Smouha,El Makasa,Mon,1,1,Tie,2019-2020
2019139,16,2020-02-04,4:00 PM,1:0,El Gouna,Wadi Degla,Tue,1,0,HomeWin,2019-2020
2019140,16,2020-02-04,6:30 PM,4:0,Talaea El Gaish,FC Masr,Tue,4,0,HomeWin,2019-2020
2019141,16,2020-02-05,6:30 PM,2:0,Zamalek,Harras Hodoud,Wed,2,0,HomeWin,2019-2020
2019142,16,2020-02-06,4:00 PM,2:2,El Masry,Tanta SC,Thu,2,2,Tie,2019-2020
2019143,16,2020-02-06,6:30 PM,1:2,Pyramids FC,Ahly SC,Thu,1,2,AwayWin,2019-2020
2019144,17,2020-02-08,1:30 PM,0:1,Ittihad Alex,Aswan SC,Sat,0,1,AwayWin,2019-2020
2019145,17,2020-02-08,4:00 PM,0:1,FC Masr,Smouha,Sat,0,1,AwayWin,2019-2020
2019146,17,2020-02-08,6:30 PM,1:1,El Makasa,Entag El Harby,Sat,1,1,Tie,2019-2020
2019147,17,2020-02-09,4:00 PM,2:2,Harras Hodoud,El Gouna,Sun,2,2,Tie,2019-2020
2019148,17,2020-02-09,6:30 PM,1:2,Ismaily,Zamalek,Sun,1,2,AwayWin,2019-2020
2019149,17,2020-02-10,1:30 PM,0:0,Tanta SC,Enppi SC,Mon,0,0,Tie,2019-2020
2019150,17,2020-02-10,4:00 PM,0:3,Wadi Degla,El Masry,Mon,0,3,AwayWin,2019-2020
2019151,17,2020-02-10,6:30 PM,3:0,Ahly SC,Talaea El Gaish,Mon,3,0,HomeWin,2019-2020
2019152,17,2020-02-11,6:30 PM,0:2,El Mokawloon,Pyramids FC,Tue,0,2,AwayWin,2019-2020
2019153,18,2020-03-09,4:00 PM,1:1,Ismaily,El Gouna,Mon,1,1,Tie,2019-2020
2019154,18,2020-03-10,4:00 PM,1:1,El Mokawloon,Talaea El Gaish,Tue,1,1,Tie,2019-2020
2019155,18,2020-03-11,4:00 PM,0:1,Enppi SC,Pyramids FC,Wed,0,1,AwayWin,2019-2020
2019156,18,2020-03-11,6:30 PM,0:0,Tanta SC,Wadi Degla,Wed,0,0,Tie,2019-2020
2019157,18,2020-03-11,,1:1,Ahly SC,Smouha,Wed,1,1,Tie,2019-2020
2019158,18,2020-08-09,5:00 PM,2:1,El Makasa,Aswan SC,Sun,2,1,HomeWin,2019-2020
2019159,18,2020-08-10,9:00 PM,1:1,Ittihad Alex,Zamalek,Mon,1,1,Tie,2019-2020
2019160,18,2020-09-14,3:30 PM,1:2,Harras Hodoud,El Masry,Mon,1,2,AwayWin,2019-2020
2019161,18,2020-10-12,3:00 PM,0:3,FC Masr,Entag El Harby,Mon,0,3,AwayWin,2019-2020
2019162,19,2020-03-05,4:00 PM,0:0,Talaea El Gaish,Enppi SC,Thu,0,0,Tie,2019-2020
